"Date","Site.Name","COUNTY","meanLat","meanLong","Month","Year","PM2.5","Ozone"
2018-01-19,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,42,NA
2018-01-20,"Bryson City","Swain",35.434767,-83.442133,1,2018,51,NA
2018-01-20,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,21,NA
2018-01-20,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,63,NA
2018-01-20,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,45,NA
2018-01-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,6,NA
2018-01-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,43,32
2018-01-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,36,NA
2018-01-20,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,28,NA
2018-01-20,"Linville Falls","Avery",35.972347,-81.933072,1,2018,8,NA
2018-01-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,38,NA
2018-01-20,"Millbrook School","Wake",35.856111,-78.574167,1,2018,50,35
2018-01-20,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,40,NA
2018-01-21,"Bryson City","Swain",35.434767,-83.442133,1,2018,50,NA
2018-01-21,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,48,NA
2018-01-21,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,44,NA
2018-01-21,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,53,36
2018-01-21,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,49,NA
2018-01-21,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,22,NA
2018-01-21,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,34,NA
2018-01-21,"Millbrook School","Wake",35.856111,-78.574167,1,2018,51,34
2018-01-21,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,43,NA
2018-01-22,"Bryson City","Swain",35.434767,-83.442133,1,2018,48,NA
2018-01-22,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,25,NA
2018-01-22,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,58,NA
2018-01-22,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,59,NA
2018-01-22,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,57,37
2018-01-22,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,52,NA
2018-01-22,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,40,NA
2018-01-22,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,51,NA
2018-01-22,"Millbrook School","Wake",35.856111,-78.574167,1,2018,59,32
2018-01-22,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,57,NA
2018-01-23,"Bryson City","Swain",35.434767,-83.442133,1,2018,17,NA
2018-01-23,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,8,NA
2018-01-23,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,25,NA
2018-01-23,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,18.5,NA
2018-01-23,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,11,NA
2018-01-23,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,15.5,36
2018-01-23,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,20,NA
2018-01-23,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,13,NA
2018-01-23,"Linville Falls","Avery",35.972347,-81.933072,1,2018,10,NA
2018-01-23,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,19,NA
2018-01-23,"Millbrook School","Wake",35.856111,-78.574167,1,2018,20.5,37
2018-01-23,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,15,NA
2018-01-24,"Bryson City","Swain",35.434767,-83.442133,1,2018,18,NA
2018-01-24,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,7,NA
2018-01-24,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,16,NA
2018-01-24,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,26,NA
2018-01-24,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,22,28
2018-01-24,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,15,NA
2018-01-24,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,3,NA
2018-01-24,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,13,NA
2018-01-24,"Millbrook School","Wake",35.856111,-78.574167,1,2018,20,31
2018-01-24,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,15,NA
2018-01-25,"Bryson City","Swain",35.434767,-83.442133,1,2018,26,NA
2018-01-25,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,13,NA
2018-01-25,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,34,NA
2018-01-25,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,43,NA
2018-01-25,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,30,31
2018-01-25,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,34,NA
2018-01-25,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,8,NA
2018-01-25,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,27,NA
2018-01-25,"Millbrook School","Wake",35.856111,-78.574167,1,2018,35,31
2018-01-25,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,25,NA
2018-01-26,"Bryson City","Swain",35.434767,-83.442133,1,2018,52,NA
2018-01-26,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,6,NA
2018-01-26,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,58,NA
2018-01-26,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,46,NA
2018-01-26,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,8,NA
2018-01-26,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,46,34
2018-01-26,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,57.6666666666667,NA
2018-01-26,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,16,NA
2018-01-26,"Linville Falls","Avery",35.972347,-81.933072,1,2018,18,NA
2018-01-26,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,56,NA
2018-01-26,"Millbrook School","Wake",35.856111,-78.574167,1,2018,47.5,28
2018-01-26,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,35,NA
2018-01-27,"Bryson City","Swain",35.434767,-83.442133,1,2018,58,NA
2018-01-27,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,3,NA
2018-01-27,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,61,NA
2018-01-27,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,42,NA
2018-01-27,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,49,31
2018-01-27,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,76,NA
2018-01-27,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,18,NA
2018-01-27,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,55,NA
2018-01-27,"Millbrook School","Wake",35.856111,-78.574167,1,2018,37,37
2018-01-27,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,27,NA
2018-01-28,"Bryson City","Swain",35.434767,-83.442133,1,2018,28,NA
2018-01-28,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,0,NA
2018-01-28,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,56,NA
2018-01-28,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,25,NA
2018-01-28,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,43,29
2018-01-28,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,46,NA
2018-01-28,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,10,NA
2018-01-28,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,46,NA
2018-01-28,"Millbrook School","Wake",35.856111,-78.574167,1,2018,22,30
2018-01-28,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,18,NA
2018-01-29,"Bryson City","Swain",35.434767,-83.442133,1,2018,12,NA
2018-01-29,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,0,NA
2018-01-29,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,18,NA
2018-01-29,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,12,NA
2018-01-29,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,4,NA
2018-01-29,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,13,23
2018-01-29,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,12.5,NA
2018-01-29,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,0,NA
2018-01-29,"Linville Falls","Avery",35.972347,-81.933072,1,2018,7,NA
2018-01-29,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,15,NA
2018-01-29,"Millbrook School","Wake",35.856111,-78.574167,1,2018,10,25
2018-01-29,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,6,NA
2018-01-30,"Bryson City","Swain",35.434767,-83.442133,1,2018,19,NA
2018-01-30,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,5,NA
2018-01-30,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,22,NA
2018-01-30,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,29,NA
2018-01-30,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,17,NA
2018-01-30,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,22,NA
2018-01-30,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,18,NA
2018-01-30,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,20,NA
2018-01-30,"Millbrook School","Wake",35.856111,-78.574167,1,2018,26,34
2018-01-30,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,14,NA
2018-01-31,"Bryson City","Swain",35.434767,-83.442133,1,2018,40,NA
2018-01-31,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,8,NA
2018-01-31,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,35,NA
2018-01-31,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,33,NA
2018-01-31,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,26,31
2018-01-31,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,31,NA
